,acc
169,"[0.2601626016260163, 0.23170731707317074, 0.19279907084785133, 0.10278745644599303, 0.13530778164924506, 0.23286875725900116]"
170,"[0.2601626016260163, 0.23170731707317074, 0.1916376306620209, 0.10569105691056911, 0.13588850174216027, 0.23344947735191637]"
171,"[0.26306620209059234, 0.23170731707317074, 0.18873403019744484, 0.10685249709639953, 0.13588850174216027, 0.23403019744483158]"
172,"[0.26306620209059234, 0.23577235772357724, 0.18699186991869918, 0.11149825783972125, 0.1440185830429733, 0.23403019744483158]"
173,"[0.26306620209059234, 0.23577235772357724, 0.18234610917537747, 0.11556329849012775, 0.15505226480836237, 0.23403019744483158]"
174,"[0.2607433217189315, 0.2601626016260163, 0.17305458768873402, 0.1173054587688734, 0.15737514518002324, 0.23286875725900116]"
175,"[0.259581881533101, 0.27235772357723576, 0.1678281068524971, 0.11962833914053426, 0.16260162601626016, 0.23344947735191637]"
176,"[0.26306620209059234, 0.3048780487804878, 0.16666666666666666, 0.12253193960511034, 0.1562137049941928, 0.2346109175377468]"
177,"[0.26422764227642276, 0.3170731707317073, 0.16492450638792103, 0.12717770034843207, 0.15156794425087108, 0.2450638792102207]"
178,"[0.27235772357723576, 0.3170731707317073, 0.16492450638792103, 0.1329849012775842, 0.1562137049941928, 0.24738675958188153]"
179,"[0.2851335656213705, 0.3170731707317073, 0.16318234610917537, 0.13937282229965156, 0.15853658536585366, 0.2508710801393728]"
180,"[0.29210220673635306, 0.3170731707317073, 0.15911730545876887, 0.14227642276422764, 0.16318234610917537, 0.24738675958188153]"
181,"[0.2857142857142857, 0.3130081300813008, 0.15795586527293845, 0.14343786295005806, 0.16840882694541232, 0.24912891986062718]"
182,"[0.2862950058072009, 0.3048780487804878, 0.15795586527293845, 0.14692218350754935, 0.1718931475029036, 0.2421602787456446]"
183,"[0.29036004645760743, 0.2967479674796748, 0.15795586527293845, 0.15040650406504066, 0.17073170731707318, 0.2421602787456446]"
184,"[0.2851335656213705, 0.3008130081300813, 0.15795586527293845, 0.15040650406504066, 0.1718931475029036, 0.24041811846689895]"
185,"[0.27526132404181186, 0.2967479674796748, 0.15795586527293845, 0.15040650406504066, 0.1718931475029036, 0.23983739837398374]"
186,"[0.27409988385598144, 0.2804878048780488, 0.15795586527293845, 0.1521486643437863, 0.17305458768873402, 0.24099883855981416]"
187,"[0.2735191637630662, 0.2804878048780488, 0.15795586527293845, 0.15389082462253195, 0.1753774680603949, 0.2462253193960511]"
188,"[0.2688734030197445, 0.2926829268292683, 0.15795586527293845, 0.15156794425087108, 0.1765389082462253, 0.24332171893147503]"
189,"[0.2688734030197445, 0.2926829268292683, 0.15795586527293845, 0.15156794425087108, 0.1759581881533101, 0.24099883855981416]"
190,"[0.2665505226480836, 0.2886178861788618, 0.15795586527293845, 0.15447154471544716, 0.17828106852497097, 0.2421602787456446]"
191,"[0.2688734030197445, 0.2886178861788618, 0.15795586527293845, 0.15505226480836237, 0.1800232288037166, 0.2462253193960511]"
192,"[0.2706155632984901, 0.2886178861788618, 0.15795586527293845, 0.15447154471544716, 0.1806039488966318, 0.24912891986062718]"
193,"[0.27177700348432055, 0.2804878048780488, 0.15795586527293845, 0.15563298490127758, 0.1806039488966318, 0.24854819976771197]"
194,"[0.27177700348432055, 0.2804878048780488, 0.15795586527293845, 0.15331010452961671, 0.18292682926829268, 0.2462253193960511]"
195,"[0.2700348432055749, 0.2804878048780488, 0.15795586527293845, 0.156794425087108, 0.1840882694541231, 0.24274099883855982]"
196,"[0.2694541231126597, 0.2804878048780488, 0.15795586527293845, 0.1562137049941928, 0.18524970963995355, 0.23925667828106853]"
197,"[0.27119628339140534, 0.2804878048780488, 0.15737514518002324, 0.15563298490127758, 0.18641114982578397, 0.23286875725900116]"
198,"[0.27177700348432055, 0.2804878048780488, 0.15737514518002324, 0.15447154471544716, 0.18641114982578397, 0.2311265969802555]"
199,"[0.27293844367015097, 0.2764227642276423, 0.15737514518002324, 0.15505226480836237, 0.18815331010452963, 0.2264808362369338]"
200,"[0.2781649245063879, 0.2764227642276423, 0.15737514518002324, 0.156794425087108, 0.1910569105691057, 0.22357723577235772]"
201,"[0.2804878048780488, 0.2804878048780488, 0.1562137049941928, 0.1562137049941928, 0.19047619047619047, 0.22067363530778164]"
202,"[0.2897793263646922, 0.2845528455284553, 0.15505226480836237, 0.15737514518002324, 0.19047619047619047, 0.21718931475029035]"
203,"[0.2926829268292683, 0.2886178861788618, 0.15447154471544716, 0.15505226480836237, 0.1910569105691057, 0.21312427409988385]"
204,"[0.30139372822299654, 0.3048780487804878, 0.15389082462253195, 0.15505226480836237, 0.1910569105691057, 0.20847851335656215]"
