,acc
141,"[0.30023228803716606, 0.991869918699187, 0.37688734030197446, 0.21951219512195122, 0.2183507549361208, 0.18931475029036005]"
142,"[0.3153310104529617, 0.991869918699187, 0.3478513356562137, 0.21777003484320556, 0.2183507549361208, 0.18931475029036005]"
143,"[0.3339140534262485, 0.9878048780487805, 0.343205574912892, 0.2183507549361208, 0.21951219512195122, 0.18873403019744484]"
144,"[0.3362369337979094, 0.9878048780487805, 0.343205574912892, 0.2183507549361208, 0.218931475029036, 0.18931475029036005]"
145,"[0.3408826945412311, 0.9878048780487805, 0.3426248548199768, 0.21777003484320556, 0.2183507549361208, 0.18873403019744484]"
146,"[0.35598141695702673, 0.9878048780487805, 0.3426248548199768, 0.21602787456445993, 0.218931475029036, 0.18873403019744484]"
147,"[0.3588850174216028, 0.9878048780487805, 0.3426248548199768, 0.2038327526132404, 0.218931475029036, 0.18931475029036005]"
148,"[0.34901277584204415, 0.9878048780487805, 0.3426248548199768, 0.20267131242741, 0.218931475029036, 0.18873403019744484]"
149,"[0.3524970963995354, 0.9878048780487805, 0.3420441347270616, 0.20209059233449478, 0.21951219512195122, 0.18873403019744484]"
150,"[0.3641114982578397, 0.9878048780487805, 0.3234610917537747, 0.2038327526132404, 0.21951219512195122, 0.18873403019744484]"
151,"[0.36527293844367015, 0.9878048780487805, 0.3234610917537747, 0.2038327526132404, 0.218931475029036, 0.18931475029036005]"
152,"[0.3693379790940767, 0.9878048780487805, 0.3240418118466899, 0.21777003484320556, 0.218931475029036, 0.18931475029036005]"
153,"[0.3867595818815331, 0.9878048780487805, 0.3240418118466899, 0.2183507549361208, 0.218931475029036, 0.18931475029036005]"
154,"[0.3902439024390244, 0.9878048780487805, 0.32578397212543553, 0.218931475029036, 0.218931475029036, 0.18815331010452963]"
155,"[0.39198606271777003, 0.991869918699187, 0.32578397212543553, 0.21777003484320556, 0.21777003484320556, 0.18873403019744484]"
156,"[0.4065040650406504, 0.991869918699187, 0.32636469221835074, 0.21777003484320556, 0.21718931475029035, 0.18873403019744484]"
157,"[0.4088269454123113, 0.991869918699187, 0.32694541231126595, 0.22009291521486643, 0.21660859465737514, 0.17421602787456447]"
158,"[0.41173054587688734, 0.991869918699187, 0.32694541231126595, 0.2311265969802555, 0.21777003484320556, 0.17305458768873402]"
159,"[0.4274099883855981, 0.991869918699187, 0.3281068524970964, 0.23577235772357724, 0.21951219512195122, 0.17305458768873402]"
160,"[0.4326364692218351, 0.991869918699187, 0.32868757259001163, 0.23635307781649245, 0.21951219512195122, 0.17363530778164923]"
161,"[0.4518002322880372, 0.991869918699187, 0.3426248548199768, 0.23693379790940766, 0.22009291521486643, 0.1765389082462253]"
162,"[0.4547038327526132, 0.991869918699187, 0.343205574912892, 0.2415795586527294, 0.23170731707317074, 0.17770034843205576]"
163,"[0.4727061556329849, 0.991869918699187, 0.343205574912892, 0.25493612078977934, 0.23228803716608595, 0.1951219512195122]"
164,"[0.49477351916376305, 0.991869918699187, 0.3437862950058072, 0.25667828106852497, 0.23170731707317074, 0.194541231126597]"
165,"[0.5127758420441347, 0.991869918699187, 0.3443670150987224, 0.2584204413472706, 0.23286875725900116, 0.194541231126597]"
166,"[0.5133565621370499, 0.991869918699187, 0.34494773519163763, 0.2601626016260163, 0.23403019744483158, 0.1951219512195122]"
167,"[0.5156794425087108, 0.991869918699187, 0.34552845528455284, 0.27468060394889665, 0.23344947735191637, 0.19686411149825783]"
168,"[0.5174216027874564, 0.991869918699187, 0.3612078977932636, 0.27526132404181186, 0.23403019744483158, 0.19744483159117304]"
169,"[0.5180023228803716, 0.991869918699187, 0.3629500580720093, 0.2787456445993031, 0.23635307781649245, 0.1957026713124274]"
170,"[0.5197444831591173, 0.991869918699187, 0.3641114982578397, 0.2804878048780488, 0.23577235772357724, 0.19628339140534262]"
171,"[0.5220673635307782, 0.991869918699187, 0.36469221835075494, 0.28222996515679444, 0.23751451800232287, 0.19628339140534262]"
172,"[0.5400696864111498, 0.991869918699187, 0.3670150987224158, 0.28281068524970965, 0.23809523809523808, 0.19628339140534262]"
173,"[0.5412311265969802, 0.991869918699187, 0.38095238095238093, 0.28397212543554007, 0.23925667828106853, 0.19628339140534262]"
174,"[0.5412311265969802, 0.991869918699187, 0.38153310104529614, 0.2862950058072009, 0.22822299651567945, 0.19628339140534262]"
175,"[0.5412311265969802, 0.991869918699187, 0.38153310104529614, 0.29907084785133564, 0.22938443670150988, 0.1991869918699187]"
176,"[0.5418118466898955, 0.991869918699187, 0.3821138211382114, 0.30255516840882696, 0.22880371660859466, 0.20789779326364694]"
177,"[0.5574912891986062, 0.991869918699187, 0.3832752613240418, 0.3170731707317073, 0.23809523809523808, 0.20789779326364694]"
