,acc
202,"[0.6027874564459931, 0.9878048780487805, 0.5934959349593496, 0.502903600464576, 0.21254355400696864, 0.13356562137049943]"
203,"[0.6074332171893148, 0.9878048780487805, 0.5981416957026713, 0.5104529616724739, 0.21138211382113822, 0.13530778164924506]"
204,"[0.6138211382113821, 0.9878048780487805, 0.6016260162601627, 0.516260162601626, 0.20615563298490128, 0.13704994192799072]"
205,"[0.6062717770034843, 0.9878048780487805, 0.6039488966318235, 0.5249709639953543, 0.2067363530778165, 0.13646922183507548]"
206,"[0.6126596980255516, 0.9878048780487805, 0.6056910569105691, 0.5209059233449478, 0.20499419279907086, 0.13763066202090593]"
207,"[0.6138211382113821, 0.9878048780487805, 0.6132404181184669, 0.5290360046457607, 0.20789779326364694, 0.13704994192799072]"
208,"[0.6120789779326364, 0.9878048780487805, 0.6120789779326364, 0.5354239256678281, 0.2038327526132404, 0.13588850174216027]"
209,"[0.6144018583042973, 0.9878048780487805, 0.6173054587688734, 0.5331010452961672, 0.2032520325203252, 0.13704994192799072]"
210,"[0.6167247386759582, 0.9878048780487805, 0.6155632984901278, 0.5470383275261324, 0.20441347270615565, 0.13240418118466898]"
211,"[0.616144018583043, 0.9878048780487805, 0.6190476190476191, 0.5493612078977933, 0.2032520325203252, 0.13763066202090593]"
212,"[0.6202090592334495, 0.9878048780487805, 0.6219512195121951, 0.5545876887340302, 0.1997677119628339, 0.13472706155632985]"
213,"[0.6225319396051103, 0.9878048780487805, 0.6236933797909407, 0.5580720092915215, 0.20150987224157957, 0.13704994192799072]"
214,"[0.6213704994192799, 0.9878048780487805, 0.6248548199767712, 0.5673635307781649, 0.19744483159117304, 0.13704994192799072]"
215,"[0.6190476190476191, 0.9878048780487805, 0.6277584204413472, 0.5696864111498258, 0.1991869918699187, 0.13704994192799072]"
216,"[0.6219512195121951, 0.9878048780487805, 0.629500580720093, 0.578397212543554, 0.1957026713124274, 0.13704994192799072]"
