,Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
38,LSTMA,50,50,15.0,0.48608064516129035,0.011861290322580645,0.02585483870967742,3.1913,0.07161935483870968,-0.014683870967741935,0.01975806451612903,0.013116129032258065,6.032258064516129,6.709677419354839,12.741935483870968,1.8709677419354838,4.0,6.129032258064516,0.23593870967741934,0.3493709677419355,1.8709677419354838
39,LSTMA,50,55,15.0,0.5695161290322581,0.017296774193548387,0.02925483870967742,3.4734129032258063,0.07371612903225806,-0.013519354838709677,0.015274193548387096,0.020406451612903227,7.483870967741935,7.967741935483871,15.451612903225806,4.032258064516129,3.5161290322580645,4.451612903225806,0.8205677419354839,1.159183870967742,4.032258064516129
40,RNN,10,10,15.0,9.947241935483872,0.40763870967741933,0.33253548387096776,3.5087129032258066,0.9302870967741935,-0.015593548387096774,0.4341741935483871,0.3817483870967742,6.0,5.612903225806452,11.612903225806452,1.7741935483870968,2.161290322580645,8.064516129032258,0.21990645161290323,0.36396774193548387,1.7741935483870968
41,RNN,10,15,15.0,10.109238709677419,0.4124645161290323,0.3600967741935484,3.524890322580645,0.9421451612903227,-0.02560322580645161,0.4089709677419355,0.42033225806451613,5.709677419354839,5.935483870967742,11.64516129032258,1.6129032258064515,1.967741935483871,8.419354838709678,0.17506451612903223,0.2524677419354839,1.6129032258064515
42,RNN,20,20,15.0,10.681845161290322,0.43938387096774195,0.35833548387096775,3.610016129032258,0.951941935483871,-0.018677419354838708,0.4702,0.38100322580645163,6.516129032258065,5.774193548387097,12.290322580645162,1.8387096774193548,1.5483870967741935,8.612903225806452,0.20413870967741934,0.2754935483870968,1.8387096774193548
43,RNN,20,25,15.0,10.852867741935484,0.44803225806451613,0.36488709677419356,3.603690322580645,0.9582193548387097,-0.011906451612903225,0.44392903225806457,0.4290516129032258,6.161290322580645,6.096774193548387,12.258064516129032,2.129032258064516,1.8709677419354838,8.0,0.2440516129032258,0.34462258064516127,2.129032258064516
44,RNN,30,30,15.0,11.323109677419355,0.47121290322580645,0.3856903225806452,3.5663548387096773,0.9803516129032258,-0.002096774193548387,0.4792161290322581,0.47221612903225807,6.225806451612903,5.67741935483871,11.903225806451612,1.3225806451612903,1.4193548387096775,9.258064516129032,0.1385774193548387,0.1793774193548387,1.3225806451612903
45,RNN,30,35,15.0,11.129893548387097,0.4624129032258064,0.38248709677419357,3.5257741935483873,0.9610870967741936,-0.004996774193548386,0.49469677419354835,0.45437741935483866,5.870967741935484,5.741935483870968,11.612903225806452,0.967741935483871,1.3548387096774193,9.67741935483871,0.09598709677419355,0.11163548387096775,0.967741935483871
46,RNN,40,40,15.0,11.464467741935485,0.47636774193548387,0.3796548387096774,3.5408419354838707,0.9721612903225807,-0.004870967741935484,0.49379032258064515,0.4777612903225807,6.225806451612903,5.548387096774194,11.774193548387096,1.4193548387096775,1.6451612903225807,8.935483870967742,0.19886451612903225,0.2083741935483871,1.4193548387096775
47,RNN,40,45,15.0,11.430296774193549,0.4747483870967742,0.36829354838709677,3.5807322580645162,0.9794354838709678,-0.011429032258064516,0.4641096774193548,0.4875225806451613,5.67741935483871,6.387096774193548,12.064516129032258,1.4193548387096775,1.3548387096774193,9.225806451612904,0.17719032258064515,0.2945935483870968,1.4193548387096775
