Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
LSTMA,10,10,25,4.5294,0.1881,0.1829,3.585,0.4183,-0.0047,0.1668,0.22,8,4,12,0,0,12,0.0,0.0,0.1835
LSTMA,10,10,26,5.4016,0.2164,0.1573,4.0,0.4144,-0.0663,0.1584,0.1728,8,8,16,8,4,0,2.0,0.0,2.108
LSTMA,10,10,27,3.3958,0.1413,0.1062,3.8074,0.3222,-0.0021,0.1075,0.1398,6,8,14,2,0,10,0.2,0.2,0.6685
LSTMA,10,10,28,7.9035,0.3293,0.2421,3.8074,0.6352,0.0,0.2995,0.2804,6,8,14,2,0,10,0.2,0.2,1.4066
LSTMA,10,10,29,4.465,0.1653,0.2315,3.3219,0.5637,-0.0488,0.2665,0.0299,8,2,10,0,2,10,0.0,0.0,0.0521
LSTMA,10,10,30,6.6334,0.2759,0.2227,3.8074,0.7184,-0.0032,0.2949,0.1919,7,7,14,2,0,10,0.2,0.2,1.0686
GRU,10,10,0,12.5058,0.5211,0.4137,3.7004,0.9895,0.0,0.4481,0.5316,6,7,13,2,1,9,0.2,0.2222,1.8316
GRU,10,10,1,13.6871,0.5703,0.4126,3.8074,0.9997,0.0,0.5254,0.4836,6,8,14,2,0,10,0.2,0.2,2.3697
GRU,10,10,2,11.532,0.4805,0.3844,3.585,0.9856,0.0,0.4668,0.4942,6,6,12,3,3,6,0.3333,0.5,2.8741
GRU,10,10,3,13.4615,0.5609,0.3797,3.585,0.9985,0.0,0.6093,0.5125,6,6,12,0,0,12,0.0,0.0,2.6342
GRU,10,10,4,13.1001,0.5458,0.3608,3.3219,0.9938,0.0,0.6678,0.5314,5,5,10,1,3,8,0.0909,0.125,3.1853
GRU,10,10,5,13.2046,0.5502,0.4197,3.8074,1.0,0.0,0.4712,0.4968,7,7,14,3,1,8,0.3333,0.375,2.5949
GRU,10,10,6,11.7903,0.4913,0.3597,3.585,0.9893,0.0,0.5387,0.4408,7,5,12,3,3,6,0.3333,0.5,2.8099
GRU,10,10,7,14.4752,0.6031,0.3843,4.0,0.9964,0.0,0.4314,0.528,8,8,16,4,0,8,0.5,0.5,3.2816
GRU,10,10,8,12.3278,0.5137,0.393,3.4594,0.9949,0.0,0.5563,0.5326,5,6,11,2,3,7,0.2,0.2857,2.5675
