Type,min_length,max_length,Run1,Run2,Similarity
RNN-RNN,10,10,12,10,0.6052509529793461
RNN-RNN,10,10,12,11,0.6312352185188087
RNN-RNN,10,10,12,13,0.35198661115928376
RNN-RNN,10,10,12,14,0.7257812367735629
RNN-RNN,10,10,12,15,0.6756097650355966
RNN-RNN,10,10,12,16,0.49341905398233615
RNN-RNN,10,10,12,17,0.6472876161767426
RNN-RNN,10,10,12,18,0.5225615251155401
RNN-RNN,10,10,12,19,0.7427068177217568
RNN-RNN,10,10,12,20,0.4205607975174677
RNN-RNN,10,10,12,21,0.6166705295508687
RNN-RNN,10,10,12,22,0.5114997403831484
RNN-RNN,10,10,12,23,0.6558774272951092
RNN-RNN,10,10,12,24,0.6351031210948803
RNN-RNN,10,10,12,25,0.5424042306165354
RNN-RNN,10,10,12,26,0.677630396108183
RNN-RNN,10,10,12,27,0.5166418605310854
RNN-RNN,10,10,12,28,0.3250991385701912
RNN-RNN,10,10,12,29,0.5812977243458171
RNN-RNN,10,10,12,30,0.4910606987973944
RNN-RNN,10,10,13,0,0.04731907885909835
RNN-RNN,10,10,13,1,0.6485506850962369
RNN-RNN,10,10,13,2,0.19035032946818026
RNN-RNN,10,10,13,3,0.38540406210058936
RNN-RNN,10,10,13,4,0.3309402008333454
RNN-RNN,10,10,13,5,0.06372323685440996
RNN-RNN,10,10,13,6,0.7302562713214245
RNN-RNN,10,10,13,7,0.4314772890221929
RNN-RNN,10,10,13,8,0.45420301276299657
RNN-RNN,10,10,13,9,0.017678295060603144
RNN-RNN,10,10,13,10,0.39491583572979144
RNN-RNN,10,10,13,11,0.3991668672670064
RNN-RNN,10,10,13,12,0.35198661115928376
RNN-RNN,10,10,13,14,0.3931049317910128
RNN-RNN,10,10,13,15,0.25997168545885974
RNN-RNN,10,10,13,16,0.5706841977357835
RNN-RNN,10,10,13,17,0.40606499558344655
RNN-RNN,10,10,13,18,0.14131180096497972
RNN-RNN,10,10,13,19,0.24849551445409948
RNN-RNN,10,10,13,20,-0.03885212184153314
RNN-RNN,10,10,13,21,0.4958055159979114
RNN-RNN,10,10,13,22,0.44954195856146123
RNN-RNN,10,10,13,23,0.5133596765247752
RNN-RNN,10,10,13,24,0.3096048100912256
RNN-RNN,10,10,13,25,0.5650218836316527
RNN-RNN,10,10,13,26,0.5195663282743961
RNN-RNN,10,10,13,27,0.2756429690036517
RNN-RNN,10,10,13,28,0.75476036163364
RNN-RNN,10,10,13,29,0.1264616835784369
RNN-RNN,10,10,13,30,0.5713936930667435
RNN-RNN,10,10,14,0,0.43641661600523973
RNN-RNN,10,10,14,1,0.5383684420432118
RNN-RNN,10,10,14,2,0.5445772078834354
RNN-RNN,10,10,14,3,0.5801973209619249
RNN-RNN,10,10,14,4,0.7189843766536035
RNN-RNN,10,10,14,5,0.47271184900282537
RNN-RNN,10,10,14,6,0.4813585700736589
RNN-RNN,10,10,14,7,0.6731961193365236
RNN-RNN,10,10,14,8,0.6480739358819462
RNN-RNN,10,10,14,9,0.5245040154135387
RNN-RNN,10,10,14,10,0.6235548920847193
RNN-RNN,10,10,14,11,0.5597902205625774
RNN-RNN,10,10,14,12,0.7257812367735629
RNN-RNN,10,10,14,13,0.3931049317910128
RNN-RNN,10,10,14,15,0.6649770431794582
RNN-RNN,10,10,14,16,0.5554318079429751
RNN-RNN,10,10,14,17,0.7351610447421782
RNN-RNN,10,10,14,18,0.49851118094985847
RNN-RNN,10,10,14,19,0.473112382055318
RNN-RNN,10,10,14,20,0.24360320736297222
RNN-RNN,10,10,14,21,0.7154805770979528
RNN-RNN,10,10,14,22,0.5692592905915003
RNN-RNN,10,10,14,23,0.603087552529658
RNN-RNN,10,10,14,24,0.6156950778259718
RNN-RNN,10,10,14,25,0.7255421694170381
RNN-RNN,10,10,14,26,0.712264890276578
RNN-RNN,10,10,14,27,0.6149091627395783
RNN-RNN,10,10,14,28,0.46892777927614354
RNN-RNN,10,10,14,29,0.5618567766382182
RNN-RNN,10,10,14,30,0.5800933672188796
RNN-RNN,10,10,15,0,0.6336494607117137
RNN-RNN,10,10,15,1,0.32463853393796205
RNN-RNN,10,10,15,2,0.7215651834450958
RNN-RNN,10,10,15,3,0.6626080427805536
RNN-RNN,10,10,15,4,0.6797697737247526
RNN-RNN,10,10,15,5,0.7330362977884288
RNN-RNN,10,10,15,6,0.49191787264638603
RNN-RNN,10,10,15,7,0.7036680581679624
RNN-RNN,10,10,15,8,0.5165309375836562
RNN-RNN,10,10,15,9,0.7533130330982523
RNN-RNN,10,10,15,10,0.7203519302350393
RNN-RNN,10,10,15,11,0.545881796872206
RNN-RNN,10,10,15,12,0.6756097650355966
RNN-RNN,10,10,15,13,0.25997168545885974
RNN-RNN,10,10,15,14,0.6649770431794582
RNN-RNN,10,10,15,16,0.514783049160499
RNN-RNN,10,10,15,17,0.7226231266940263
RNN-RNN,10,10,15,18,0.6852548625377995
RNN-RNN,10,10,15,19,0.6818126338801143
RNN-RNN,10,10,15,20,0.45491976241822485
RNN-RNN,10,10,15,21,0.6655557264658
RNN-RNN,10,10,15,22,0.5649127658879215
RNN-RNN,10,10,15,23,0.7090552155913524
RNN-RNN,10,10,15,24,0.7080247234778784
RNN-RNN,10,10,15,25,0.5952882190259917
RNN-RNN,10,10,15,26,0.7132700479442781
RNN-RNN,10,10,15,27,0.7871384153834798
RNN-RNN,10,10,15,28,0.38481591268129867
RNN-RNN,10,10,15,29,0.6787394211061085
RNN-RNN,10,10,15,30,0.6376434976807751
RNN-RNN,10,10,16,0,0.381998989336511
RNN-RNN,10,10,16,1,0.5673205282776838
RNN-RNN,10,10,16,2,0.4593219922706417
RNN-RNN,10,10,16,3,0.5355863879503444
RNN-RNN,10,10,16,4,0.4964192825991141
RNN-RNN,10,10,16,5,0.31576775421957304
RNN-RNN,10,10,16,6,0.7799654165502495
RNN-RNN,10,10,16,7,0.7008278079576336
RNN-RNN,10,10,16,8,0.7794085162154113
RNN-RNN,10,10,16,9,0.47213776833225135
RNN-RNN,10,10,16,10,0.5765743791666704
RNN-RNN,10,10,16,11,0.6346990254269251
RNN-RNN,10,10,16,12,0.49341905398233615
RNN-RNN,10,10,16,13,0.5706841977357835
RNN-RNN,10,10,16,14,0.5554318079429751
RNN-RNN,10,10,16,15,0.514783049160499
RNN-RNN,10,10,16,17,0.5629612222614152
RNN-RNN,10,10,16,18,0.48150628622001157
RNN-RNN,10,10,16,19,0.5259991435427176
RNN-RNN,10,10,16,20,0.3818435095999423
RNN-RNN,10,10,16,21,0.6431872081981387
RNN-RNN,10,10,16,22,0.5967925004743567
RNN-RNN,10,10,16,23,0.6496700950273692
RNN-RNN,10,10,16,24,0.672506520091144
RNN-RNN,10,10,16,25,0.7479909418149365
RNN-RNN,10,10,16,26,0.7158913756295805
RNN-RNN,10,10,16,27,0.5702493852744468
RNN-RNN,10,10,16,28,0.5352217103959822
RNN-RNN,10,10,16,29,0.46999051086319915
RNN-RNN,10,10,16,30,0.6793246357339647
RNN-RNN,10,10,17,0,0.5330309128624358
